날짜,오늘의 요약,감정지수,브레인 덤프,신체_수면시간,신체_수면의질,신체_카페인,신체_활동여부,업무_업무강도,업무_야근여부,업무_동료관계,환경_날씨,여가_취미유형,여가_취미만족도
2027-04-21,내 자리가 없는 것 같은 느낌,7.2,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,8.1,3,2,1,3,1,4.0,맑음,게임,3.0
2027-04-22,"말을 못 했다, 타이밍을 놓쳤다",5.2,내가 이 일을 잘 하고 있는 건지 모르겠다. 실수도 많고 눈치도 보이고 퇴근하고 나서도 계속 생각이 난다.,6.1,4,1,1,2,1,3.0,비,게임,4.0
2027-04-23,"적응 중, 아직 모르는 게 너무 많다",4.6,오늘 실수를 하나 했다. 별거 아닌 것 같아도 집에 와서도 계속 신경 쓰인다. 빨리 적응하고 싶다.,6.5,3,3,1,3,0,2.0,흐림,독서,2.0
2027-04-24,"주말 루틴, 나를 위한 시간",10.0,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,8.8,5,0,1,0,0,0.0,맑음,"유튜브, 게임",3.0
2027-04-25,"오랜만에 집 청소, 개운하다",9.5,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,7.8,3,0,1,0,0,0.0,맑음,"게임, 운동",4.0
2027-04-26,불안한데 티 내기 싫다,4.6,오늘 실수를 하나 했다. 별거 아닌 것 같아도 집에 와서도 계속 신경 쓰인다. 빨리 적응하고 싶다.,7.9,4,2,1,2,0,5.0,흐림,유튜브,4.0
2027-04-27,오늘도 질문 못 하고 퇴근,3.4,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,6.5,3,1,0,3,0,3.0,비,게임,2.0
2027-04-28,아직 갈 길이 멀다,3.2,오늘 중요한 미팅에서 말을 못 했다. 하고 싶은 말이 있었는데 타이밍을 못 잡았다. 집에 와서 후회가 됐다.,6.2,4,2,0,3,0,3.0,맑음,없음,1.0
2027-04-29,"말을 못 했다, 타이밍을 놓쳤다",5.1,오늘 실수를 하나 했다. 별거 아닌 것 같아도 집에 와서도 계속 신경 쓰인다. 빨리 적응하고 싶다.,7.3,4,2,0,3,0,3.0,맑음,독서,4.0
2027-04-30,"잠이 안 온다, 일 생각이 계속",3.2,오늘 선배한테 혼났다. 맞는 말인데 왜인지 눈물이 날 것 같았다. 집에 오는 길에 많이 울었다.,6.5,2,2,0,3,1,4.0,맑음,독서,2.0
2027-05-01,"늦잠 자고 유튜브, 완벽한 주말",7.1,친구 만나서 오랜만에 수다 떨었다. 회사 얘기 하다 보니 나만 힘든 게 아니구나 싶어서 좀 위로됐다.,8.2,4,1,1,0,0,0.0,흐림,"게임, 운동",4.0
2027-05-02,아무 계획 없는 하루가 제일 좋다,8.2,오늘은 그냥 쉬었다. 아무 생각 없이 유튜브 보다가 낮잠도 자고 오랜만에 제대로 쉰 것 같다.,8.8,4,0,1,0,0,0.0,비,"독서, 친구만남",4.0
2027-05-03,아직 갈 길이 멀다,2.2,내가 이 일을 잘 하고 있는 건지 모르겠다. 실수도 많고 눈치도 보이고 퇴근하고 나서도 계속 생각이 난다.,7.5,4,99,0,3,1,2.0,맑음,게임,2.0
2027-05-04,불안한데 티 내기 싫다,4.1,아직도 업무 흐름을 잘 모르겠다. 물어보기도 눈치 보이고 혼자 끙끙대다가 하루가 끝났다.,6.6,3,3,1,3,0,3.0,맑음,없음,1.0
2027-05-05,오늘도 질문 못 하고 퇴근,4.1,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,7.4,4,1,1,3,1,2.0,맑음,없음,1.0
2027-05-06,내 자리가 없는 것 같은 느낌,5.6,내가 이 일을 잘 하고 있는 건지 모르겠다. 실수도 많고 눈치도 보이고 퇴근하고 나서도 계속 생각이 난다.,7.8,4,1,1,3,0,3.0,맑음,유튜브,4.0
2027-05-07,"잠이 안 온다, 일 생각이 계속",5.2,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,6.3,4,1,1,3,0,3.0,맑음,없음,1.0
2027-05-08,"늦잠 자고 유튜브, 완벽한 주말",8.9,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,9.3,5,1,1,0,0,0.0,맑음,운동,1.0
2027-05-09,"오랜만에 집 청소, 개운하다",8.7,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,8.8,4,1,1,0,0,0.0,흐림,"운동, 게임",4.0
2027-05-10,내 자리가 없는 것 같은 느낌,2.3,오늘 실수를 하나 했다. 별거 아닌 것 같아도 집에 와서도 계속 신경 쓰인다. 빨리 적응하고 싶다.,6.2,3,2,0,3,0,3.0,맑음,친구만남,5.0
2027-05-11,오늘도 질문 못 하고 퇴근,4.2,내가 이 일을 잘 하고 있는 건지 모르겠다. 실수도 많고 눈치도 보이고 퇴근하고 나서도 계속 생각이 난다.,6.5,3,3,1,2,0,4.0,맑음,게임,4.0
2027-05-12,"실수했다, 빨리 배워야겠다",5.9,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,7.0,4,1,0,2,0,3.0,맑음,운동,3.0
2027-05-13,눈치 보이는 하루,3.6,아직도 업무 흐름을 잘 모르겠다. 물어보기도 눈치 보이고 혼자 끙끙대다가 하루가 끝났다.,7.0,3,2,0,4,0,3.0,맑음,독서,2.0
2027-05-14,"혼났다, 맞는 말인데 괜히 속상하다",6.4,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,7.9,4,2,1,3,0,3.0,맑음,없음,2.0
2027-05-15,"가족이랑 밥 먹었다, 힐링",6.7,오랜만에 가족이랑 밥을 먹었다. 별 얘기 없이 그냥 같이 있는 것만으로도 충전이 되는 것 같다.,7.9,4,0,0,0,0,0.0,맑음,"게임, 독서",4.0
2027-05-16,"주말 루틴, 나를 위한 시간",9.2,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,9.6,5,1,1,0,0,0.0,흐림,"운동, 독서",3.0
2027-05-17,"점심이 맛있었다, 소소한 행복",2.8,오늘은 계획한 일을 다 끝냈다. 퇴근 후에 좋아하는 책도 읽고 나름 여유로운 하루였다.,5.3,4,2,0,3,0,,비,독서,4.0
2027-05-18,동료랑 웃으면서 얘기했다,4.8,오늘은 생각보다 일이 잘 풀렸다. 팀장님이 칭찬도 해주셔서 기분이 좋았다. 저녁에 좋아하는 거 먹으면서 쉬었다.,7.2,3,1,1,3,0,2.0,비,없음,1.0
2027-05-19,작은 성취감이 있었다,6.2,오늘 처음으로 업무를 혼자 끝냈다. 별거 아닐 수 있지만 나한테는 꽤 뿌듯한 일이었다.,6.6,4,2,0,2,0,3.0,맑음,독서,4.0
2027-05-20,나쁘지 않은 하루,6.5,팀 회식이 있었는데 생각보다 재미있었다. 동료들이랑 이야기 나누다 보니 스트레스가 좀 풀렸다.,6.1,3,2,1,2,0,3.0,맑음,없음,1.0
2027-05-21,"팀장님 칭찬, 기분 좋다",7.1,오늘은 계획한 일을 다 끝냈다. 퇴근 후에 좋아하는 책도 읽고 나름 여유로운 하루였다.,7.0,4,2,1,3,0,5.0,비,운동,4.0
2027-05-22,아무 계획 없는 하루가 제일 좋다,10.0,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,7.8,3,1,1,0,0,0.0,눈,운동,3.0
2027-05-23,오늘 하루 나를 위해 썼다,8.6,오늘은 운동도 하고 좋아하는 카페도 갔다. 평일의 피로가 좀 풀리는 것 같다. 내일도 쉬고 싶다.,8.5,3,2,0,0,0,0.0,흐림,"게임, 유튜브, 독서",4.0
2027-05-24,동료랑 웃으면서 얘기했다,5.2,점심에 새로 생긴 식당 가봤는데 맛있었다. 소소하지만 이런 게 하루를 버티게 해주는 것 같다.,6.4,3,2,1,2,1,4.0,비,없음,2.0
2027-05-25,"점심이 맛있었다, 소소한 행복",6.9,오늘은 생각보다 일이 잘 풀렸다. 팀장님이 칭찬도 해주셔서 기분이 좋았다. 저녁에 좋아하는 거 먹으면서 쉬었다.,7.0,3,2,1,2,0,3.0,맑음,없음,2.0
2027-05-26,"팀장님 칭찬, 기분 좋다",5.8,오늘 처음으로 업무를 혼자 끝냈다. 별거 아닐 수 있지만 나한테는 꽤 뿌듯한 일이었다.,6.4,4,2,0,3,0,3.0,흐림,운동,3.0
2027-05-27,작은 성취감이 있었다,7.6,점심에 새로 생긴 식당 가봤는데 맛있었다. 소소하지만 이런 게 하루를 버티게 해주는 것 같다.,6.7,3,2,0,2,0,3.0,흐림,유튜브,4.0
2027-05-28,뭔가 해낸 것 같은 기분,6.4,오늘 업무가 딱 적당했다. 퇴근하고 운동도 했더니 개운하다. 이런 날이 더 많았으면 좋겠다.,7.4,4,2,1,3,0,5.0,흐림,없음,1.0
2027-05-29,"가족이랑 밥 먹었다, 힐링",10.0,오늘은 운동도 하고 좋아하는 카페도 갔다. 평일의 피로가 좀 풀리는 것 같다. 내일도 쉬고 싶다.,9.4,5,0,1,0,0,0.0,흐림,"유튜브, 독서",5.0
2027-05-30,좋아하는 카페에서 책 읽기,10.0,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,9.1,4,1,1,0,0,0.0,비,게임,3.0
2027-05-31,퇴근길이 가벼웠다,3.0,오늘 처음으로 업무를 혼자 끝냈다. 별거 아닐 수 있지만 나한테는 꽤 뿌듯한 일이었다.,6.1,3,2,1,3,0,3.0,흐림,없음,1.0
2027-06-01,오늘 업무 깔끔하게 마무리,7.3,오늘은 생각보다 일이 잘 풀렸다. 팀장님이 칭찬도 해주셔서 기분이 좋았다. 저녁에 좋아하는 거 먹으면서 쉬었다.,7.8,5,1,1,4,0,3.0,흐림,독서,3.0
2027-06-02,오늘은 집중이 잘 됐다,5.9,점심에 새로 생긴 식당 가봤는데 맛있었다. 소소하지만 이런 게 하루를 버티게 해주는 것 같다.,6.6,3,1,0,3,0,2.0,흐림,유튜브,2.0
2027-06-03,오늘 하루 무난하게 잘 넘겼다,4.9,팀 회식이 있었는데 생각보다 재미있었다. 동료들이랑 이야기 나누다 보니 스트레스가 좀 풀렸다.,6.4,3,2,1,3,0,2.0,비,운동,3.0
2027-06-04,뭔가 해낸 것 같은 기분,5.4,오늘 처음으로 업무를 혼자 끝냈다. 별거 아닐 수 있지만 나한테는 꽤 뿌듯한 일이었다.,6.3,4,2,0,3,1,5.0,비,게임,2.0
2027-06-05,오늘은 그냥 쉬는 날,10.0,오늘은 아무 계획 없이 하루를 보냈다. 그게 오히려 좋았다. 진짜 쉬는 게 이런 건가 싶었다.,7.8,5,1,1,0,0,0.0,흐림,"유튜브, 친구만남",4.0
2027-06-06,"주말 루틴, 나를 위한 시간",10.0,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,9.6,5,0,0,0,0,0.0,비,"게임, 친구만남, 운동",3.0
2027-06-07,회의만 하다 하루 끝,2.8,요즘 회사 가기가 너무 싫다. 몸도 무겁고 뭘 해도 의욕이 안 생긴다. 퇴근하고 나서도 머릿속에서 일이 떠나질 않는다.,5.6,3,4,0,4,1,4.0,흐림,유튜브,3.0
2027-06-08,감정이 없어진 것 같다,3.1,야근이 또 있었다. 집에 오니까 아무것도 하기 싫고 그냥 누워있고 싶다. 이게 언제까지 계속될지 모르겠다.,5.3,2,4,1,5,1,2.0,맑음,게임,3.0
2027-06-09,오늘도 혼자 점심,4.2,몸이 너무 무겁다. 아침에 일어나는 게 점점 힘들어지고 있다. 이러다가 정말 쓰러질 것 같다는 생각이 든다.,4.9,3,4,1,4,1,4.0,비,유튜브,2.0
2027-06-10,번아웃인지 아무것도 하기 싫다,5.3,요즘 회사 가기가 너무 싫다. 몸도 무겁고 뭘 해도 의욕이 안 생긴다. 퇴근하고 나서도 머릿속에서 일이 떠나질 않는다.,6.5,2,3,0,5,1,4.0,비,유튜브,3.0
2027-06-11,커피로 버티는 하루,4.4,몸이 너무 무겁다. 아침에 일어나는 게 점점 힘들어지고 있다. 이러다가 정말 쓰러질 것 같다는 생각이 든다.,3.3,1,3,1,5,1,4.0,맑음,유튜브,
2027-06-12,"늦잠 자고 유튜브, 완벽한 주말",8.2,오늘은 그냥 쉬었다. 아무 생각 없이 유튜브 보다가 낮잠도 자고 오랜만에 제대로 쉰 것 같다.,4.2,2,4,1,0,0,0.0,비,친구만남,4.0
2027-06-13,아무 계획 없는 하루가 제일 좋다,6.5,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,4.0,1,4,0,0,0,0.0,맑음,"친구만남, 독서",4.0
2027-06-14,번아웃인지 아무것도 하기 싫다,1.0,오늘 점심도 혼자 먹었다. 팀 분위기가 왜 이런지 모르겠다. 그냥 빨리 퇴근하고 싶다는 생각밖에 안 든다.,5.9,3,3,1,4,1,3.0,맑음,게임,2.0
2027-06-15,퇴근하고 싶다는 생각뿐,1.0,몸이 너무 무겁다. 아침에 일어나는 게 점점 힘들어지고 있다. 이러다가 정말 쓰러질 것 같다는 생각이 든다.,5.0,2,3,0,4,1,5.0,흐림,유튜브,4.0
2027-06-16,회의만 하다 하루 끝,2.7,오늘 점심도 혼자 먹었다. 팀 분위기가 왜 이런지 모르겠다. 그냥 빨리 퇴근하고 싶다는 생각밖에 안 든다.,6.0,2,3,0,5,0,3.0,맑음,게임,3.0
2027-06-17,감정이 없어진 것 같다,2.5,야근이 또 있었다. 집에 오니까 아무것도 하기 싫고 그냥 누워있고 싶다. 이게 언제까지 계속될지 모르겠다.,6.1,3,5,0,4,0,3.0,흐림,게임,3.0
2027-06-18,아무것도 하기 싫은 하루,2.3,오늘도 커피를 너무 많이 마셨다. 그래도 집중이 안 됐다. 몸이 말을 안 듣는 것 같아서 답답하다.,3.9,2,3,1,4,0,4.0,비,게임,3.0
2027-06-19,"오랜만에 집 청소, 개운하다",6.8,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,6.2,3,3,0,0,0,0.0,맑음,"게임, 유튜브",4.0
2027-06-20,아무 계획 없는 하루가 제일 좋다,5.6,오늘은 운동도 하고 좋아하는 카페도 갔다. 평일의 피로가 좀 풀리는 것 같다. 내일도 쉬고 싶다.,5.8,3,4,1,0,0,0.0,맑음,운동,2.0
2027-06-21,회의만 하다 하루 끝,1.0,몸이 너무 무겁다. 아침에 일어나는 게 점점 힘들어지고 있다. 이러다가 정말 쓰러질 것 같다는 생각이 든다.,6.4,4,3,0,3,1,2.0,흐림,유튜브,3.0
2027-06-22,"집중이 안 된다, 그냥 집에 가고 싶다",1.0,"오늘은 아무것도 하기 싫었다. 업무도, 밥도, 대화도. 그냥 아무것도 없는 곳에 있고 싶었다.",4.7,2,3,0,3,1,1.0,흐림,게임,2.0
2027-06-23,"야근 또 했다, 언제 끝나지",1.0,요즘 회사 가기가 너무 싫다. 몸도 무겁고 뭘 해도 의욕이 안 생긴다. 퇴근하고 나서도 머릿속에서 일이 떠나질 않는다.,4.3,3,3,1,4,1,2.0,흐림,유튜브,3.0
2027-06-24,몸이 한계인 것 같다,2.1,"오늘은 아무것도 하기 싫었다. 업무도, 밥도, 대화도. 그냥 아무것도 없는 곳에 있고 싶었다.",5.9,4,3,0,4,1,3.0,흐림,유튜브,2.0
2027-06-25,오늘도 혼자 점심,2.3,야근이 또 있었다. 집에 오니까 아무것도 하기 싫고 그냥 누워있고 싶다. 이게 언제까지 계속될지 모르겠다.,5.2,3,4,0,3,1,2.0,맑음,게임,3.0
2027-06-26,친구 만나서 충전,5.8,오늘은 그냥 쉬었다. 아무 생각 없이 유튜브 보다가 낮잠도 자고 오랜만에 제대로 쉰 것 같다.,5.4,3,5,1,0,0,0.0,맑음,친구만남,3.0
2027-06-27,오늘은 그냥 쉬는 날,4.4,책을 한 권 다 읽었다. 오래 걸렸는데 다 읽고 나니 뿌듯하다. 오늘 하루는 나를 위한 시간이었다.,3.0,1,4,1,0,0,0.0,맑음,"독서, 유튜브",4.0
2027-06-28,번아웃이 지나가는 것 같다,2.5,오늘 작은 성과가 있었다. 별거 아닐 수 있지만 나한테는 의미 있었다. 퇴근길이 오랜만에 가벼웠다.,6.6,3,2,0,4,0,2.0,비,게임,3.0
2027-06-29,오늘은 퇴근길이 가벼웠다,4.5,번아웃이 좀 지나간 것 같다. 아직 완전히 회복된 건 아니지만 예전의 나로 돌아가고 있는 느낌이다.,6.2,4,2,0,2,0,3.0,흐림,없음,1.0
2027-06-30,조금씩 나아지고 있다,5.2,오늘 작은 성과가 있었다. 별거 아닐 수 있지만 나한테는 의미 있었다. 퇴근길이 오랜만에 가벼웠다.,6.3,4,2,0,3,0,3.0,맑음,친구만남,4.0
2027-07-01,다시 나로 돌아오는 느낌,3.8,번아웃이 좀 지나간 것 같다. 아직 완전히 회복된 건 아니지만 예전의 나로 돌아가고 있는 느낌이다.,5.5,3,2,0,3,1,3.0,맑음,없음,1.0
2027-07-02,번아웃이 지나가는 것 같다,5.1,요즘 들어 좀 나아지는 것 같다. 여전히 바쁘지만 예전처럼 무기력하진 않다. 조금씩 적응되는 것 같기도 하다.,6.7,3,3,0,3,0,3.0,비,친구만남,4.0
2027-07-03,친구 만나서 충전,10.0,오랜만에 가족이랑 밥을 먹었다. 별 얘기 없이 그냥 같이 있는 것만으로도 충전이 되는 것 같다.,9.0,4,2,1,0,0,0.0,흐림,"독서, 친구만남",3.0
